ROI,voxels,volume_mm3,T1_mean,T1_std,T1_min,T1_max,T1_CoV,T1_nulls
1100,1400,1.4,0.2882892,0.04903474,0.1112543,0.4538578,0.1700887,0
1101,146,0.146,0.3505387,0.04244611,0.2693676,0.4644675,0.1210882,0
1102,51,0.051,0.2501968,0.03537246,0.1734385,0.3244789,0.1413786,0
1103,107,0.107,0.300709,0.03926262,0.2108671,0.4052302,0.1305668,0
1104,2710,2.71,0.2817441,0.05684923,0.1049178,0.4650569,0.2017761,0
1105,154,0.154,0.2896129,0.04106019,0.1710808,0.3943258,0.1417761,0
1106,436,0.436,0.2862743,0.05160664,0.1410204,0.4224709,0.1802699,0
1107,1009,1.009,0.3435669,0.0538017,0.1787435,0.5359353,0.1565974,0
1108,2,0.002,0.4116402,0.01073225,0.4040514,0.4192291,0.02607192,0
1109,263,0.263,0.2495609,0.0469669,0.1293789,0.3965362,0.1881981,4
1110,529,0.529,0.2171113,0.04559012,0.08576149,0.4089141,0.209985,0
1111,196,0.196,0.2352996,0.03915567,0.1367468,0.3548343,0.1664077,0
1112,672,0.6720001,0.1990879,0.04477983,1.31E-07,0.3280154,0.224925,3
1113,1255,1.255,0.2474397,0.0458717,0.0831091,0.3781166,0.1853854,0
1114,1706,1.706,0.2298183,0.0563002,0.06174235,0.4560682,0.244977,1
1115,1987,1.987,0.3107937,0.0490372,0.1644498,0.4831817,0.1577806,0
1116,3444,3.444,0.2057835,0.05134392,2.52E-07,0.3648545,0.2495046,1
1117,335,0.335,0.2828045,0.04425143,0.155461,0.3810637,0.1564736,0
1118,212,0.212,0.2515347,0.03853988,0.1631236,0.3598444,0.1532189,0
1119,919,0.919,0.2320803,0.07107929,0.05687958,0.4598994,0.3062702,22
1120,929,0.929,0.3131748,0.05894988,0.1302631,0.5351986,0.1882332,0
1121,8034,8.034,0.3846387,0.08245818,0.1476512,0.7369295,0.2143783,0
1122,39,0.039,0.2526558,0.03614992,0.17447,0.3205003,0.1430797,0
1123,436,0.436,0.3237902,0.05339209,0.1533981,0.4663831,0.1648972,0
1124,381,0.381,0.4200003,0.07306109,0.2500639,0.6454212,0.1739548,0
1125,385,0.385,0.2646904,0.06871069,0.07809891,0.4123033,0.2595889,27
1126,18,0.018,0.3197471,0.04728036,0.2583158,0.4419219,0.147868,0
1127,1608,1.608,0.3073748,0.04183569,0.1690178,0.4395643,0.1361064,0
1129,35,0.035,0.2368313,0.04677289,0.140578,0.3051752,0.1974946,0
1131,11,0.011,0.3731601,0.03650839,0.327426,0.4447217,0.09783573,0
1132,9,0.009000001,0.3387397,0.05665082,0.244759,0.4067038,0.16724,0
1133,1091,1.091,0.2668145,0.0569142,0.06277411,0.4311649,0.21331,0
1134,463,0.463,0.3511927,0.07992145,0.07087845,0.5235574,0.2275715,0
1135,1076,1.076,0.2211754,0.04973628,0.06468947,0.3857791,0.2248725,0
1136,389,0.389,0.1510404,0.04009471,2.11E-07,0.2619998,0.2654569,5
1137,87,0.087,0.2469592,0.04090525,0.1669548,0.3448141,0.1656356,0
1138,1,0.001,0.2675993,0,0.2675993,0.2675993,0,0
1139,9,0.009000001,0.225046,0.02969147,0.1578187,0.2597894,0.1319351,0
1140,591,0.591,0.1982667,0.06156234,0.07087849,0.3735486,0.3105026,0
1141,308,0.308,0.1427215,0.03788458,0.03787072,0.2552212,0.2654442,0
1142,103,0.103,0.303148,0.0389687,0.2116039,0.3929996,0.1285468,0
1143,641,0.641,0.3085982,0.07584195,0.1112541,0.5642278,0.2457628,0
1144,851,0.851,0.2563369,0.05735465,0.09165577,0.4205553,0.2237471,0
1145,354,0.354,0.3513739,0.0589635,0.1942158,0.5206103,0.1678084,0
1146,289,0.289,0.2614729,0.062291,0.09239249,0.4772875,0.2382311,0
1147,3115,3.115,0.3599874,0.06086236,6.25E-07,0.612266,0.169068,4
1148,3749,3.749,0.2829195,0.08510342,0.02490324,0.6857969,0.3008043,0
1149,184,0.184,0.2947553,0.04621855,0.1573767,0.4548893,0.1568031,0
1151,242,0.242,0.5084277,0.05415592,0.2978074,0.671798,0.1065165,0
1152,447,0.447,0.2885533,0.05811933,0.1060966,0.4540052,0.2014163,0
1153,417,0.417,0.4190147,0.04761805,0.2981021,0.5570073,0.1136429,0
1154,36,0.036,0.3019007,0.09938256,0.1223058,0.5172211,0.3291896,0
1155,83,0.083,0.3871587,0.04686884,0.2647995,0.4939388,0.1210585,0
1156,100,0.1,0.3864894,0.05517682,0.2018783,0.5008645,0.1427641,0
1157,342,0.342,0.3118321,0.04231631,0.186848,0.4550367,0.1357022,0
1158,67,0.067,0.3093649,0.04117586,0.2207399,0.4109771,0.133098,0
1160,261,0.261,0.3375468,0.04522391,0.2043834,0.4512054,0.1339782,0
1161,159,0.159,0.4347479,0.151073,0.05643751,0.7320668,0.3474956,0
1162,917,0.9170001,0.2473911,0.04910714,0.07706743,0.424681,0.1985,0
1163,807,0.807,0.2893178,0.04171365,0.1505986,0.4086194,0.1441793,0
1164,40,0.04,0.298662,0.04441181,0.1984891,0.3865159,0.1487026,0
1165,28,0.028,0.3090117,0.03792794,0.1959841,0.3676543,0.1227395,0
1166,838,0.8380001,0.2797146,0.04153559,0.1694601,0.4603415,0.1484928,0
